Snapshot for date: 19/1/2005
__SCHEDULE__::mensal $ | SCHEDULE | mensal $
__SCHEDULE__::semanal 5 | SCHEDULE | semanal 5
__SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5
EMP-1 | Fernanda Montenegro | semanal 5
EMP-2 | Paloma Duarte | semanal 5
EMP-3 | Lavinia Vlasak | semanal 5
EMP-4 | Claudia Abreu | semanal 5
EMP-5 | Claudia Raia | semanal 5
EMP-6 | Natalia do Valle | mensal $
EMP-7 | Regina Duarte | mensal $
EMP-8 | Flavia Alessandra | mensal $
EMP-9 | Deborah Secco | semanal 2 5
EMP-10 | Ana Paula Arosio | semanal 2 5
EMP-11 | Suzana Vieira | semanal 2 5
EMP-12 | Maite Proenca | semanal 2 5
