Snapshot for date: 20/2/2005
__SCHEDULE__::mensal $ | SCHEDULE | mensal $
5502ae8d-2505-4eb2-8da4-e44828f07f02 | Lavinia Vlasak | 
2738f747-0c2a-4db1-8880-2ff9909c6ce2 | Claudia Abreu | 
951b47f4-e1eb-449d-9c26-b90a792c7bc9 | Regina Duarte | 
8a9353f9-eb5f-46cd-b6ca-04ae176bf57b | Ana Paula Arosio | 
451d27fe-a710-4a14-9746-ae5895cc9110 | Flavia Alessandra | 
__SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5
279090fa-852a-4a6c-a9b7-17facacc5adb | Maite Proenca | 
507803e4-2025-444f-a203-9a78ec211692 | Fernanda Montenegro | 
f457b413-cd42-440e-9167-f6d688dce7d9 | Natalia do Valle | 
7de1c505-7b31-437f-af72-68639661203a | Claudia Raia | 
e53cdc6d-79c7-4d72-9b64-ab915c16552c | Paloma Duarte | 
ddbacc56-a0d2-491f-bfd0-e5636156768c | Suzana Vieira | 
__SCHEDULE__::semanal 5 | SCHEDULE | semanal 5
a14c8a61-5223-41e9-8e5c-54b534b5686f | Deborah Secco | 
